"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.173031757E0,1.087020016E1,-3.030480003E1,-3.092700005E1,4.464326924E1
2.183021747E0,8.564399719E0,-3.075619888E1,-3.195179939E1,4.516868602E1
2.193031757E0,1.018700027E1,-3.065859985E1,-3.080500031E1,4.463936338E1
2.203032001E0,9.942999840E0,-3.112220001E1,-3.065859985E1,4.480406594E1
2.213031513E0,1.016259956E1,-3.060980034E1,-2.996319962E1,4.402308074E1
2.223032001E0,9.467200279E0,-3.107339859E1,-3.089039993E1,4.482634035E1
2.233032245E0,9.772199631E0,-3.089039993E1,-3.118319893E1,4.496781726E1
2.243032001E0,9.210999489E0,-3.069519997E1,-3.082939911E1,4.446897415E1
2.253019305E0,9.223199844E0,-3.080500031E1,-3.145159912E1,4.498020172E1
2.263031757E0,7.856800079E0,-3.110999870E1,-3.247639847E1,4.565389123E1
2.273031757E0,9.296400070E0,-3.108559990E1,-3.103679848E1,4.490011620E1
2.283032001E0,1.006499958E1,-3.076840019E1,-3.102459908E1,4.483887169E1
2.293032245E0,9.723400116E0,-3.085379982E1,-3.076840019E1,4.464522285E1
2.303031513E0,9.235400200E0,-3.104899979E1,-3.096360016E1,4.481157818E1
2.313031757E0,8.271599770E0,-3.162240028E1,-3.161019897E1,4.547087245E1
2.323032001E0,9.784399986E0,-3.039019966E1,-3.118319893E1,4.462836109E1
2.333032001E0,9.772199631E0,-3.045119858E1,-3.074399948E1,4.436175024E1
2.343032001E0,8.332599640E0,-3.141499901E1,-3.196399879E1,4.558543187E1
2.353021259E0,9.333000183E0,-3.082939911E1,-3.054879951E1,4.439353437E1
2.363032001E0,9.845399857E0,-3.080500031E1,-3.009739876E1,4.417842634E1
2.373031757E0,9.723400116E0,-3.078059959E1,-3.132959938E1,4.498370392E1
2.383031268E0,9.357399940E0,-3.118319893E1,-3.068299866E1,4.473700075E1
2.393031757E0,9.637999535E0,-3.068299866E1,-3.202499771E1,4.538653897E1
2.403019550E0,9.662400246E0,-3.100020027E1,-3.086599922E1,4.480049445E1
2.413031757E0,1.004059982E1,-3.034140015E1,-3.113439941E1,4.461799003E1
2.423031757E0,1.040660000E1,-3.057320023E1,-3.023159981E1,4.423762564E1
2.433019794E0,1.016259956E1,-3.073180008E1,-3.090259933E1,4.475145374E1
2.443018573E0,1.100440025E1,-3.043899918E1,-3.064639854E1,4.457388517E1
