"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.286677072E0,1.082139969E1,-2.350939941E1,-3.148819923E1,4.075906332E1
2.296677072E0,9.259799957E0,-2.415600014E1,-3.248859787E1,4.153029291E1
2.306664377E0,1.122399998E1,-2.335079956E1,-3.087819862E1,4.030758199E1
2.316677072E0,1.140699959E1,-2.346059990E1,-3.146379852E1,4.087162836E1
2.326677072E0,1.095559978E1,-2.382659912E1,-3.115880013E1,4.072594772E1
2.336677805E0,1.016259956E1,-2.421699905E1,-3.137839890E1,4.091876575E1
2.346677072E0,9.723400116E0,-2.402179909E1,-3.196399879E1,4.114958761E1
2.356677561E0,1.063840008E1,-2.346059990E1,-3.240319824E1,4.139495815E1
2.366665598E0,1.174860001E1,-2.324099922E1,-3.272039795E1,4.181863327E1
2.376677561E0,1.238299942E1,-2.285059929E1,-3.253739929E1,4.164337781E1
2.386677317E0,1.198040009E1,-2.347279930E1,-3.109779930E1,4.076242651E1
2.396677317E0,1.344439983E1,-2.287500000E1,-3.020719910E1,4.020562634E1
2.406677561E0,1.302960014E1,-2.321660042E1,-3.131739998E1,4.110426445E1
2.416676828E0,1.121179962E1,-2.360700035E1,-3.093919945E1,4.049974048E1
2.426677072E0,9.686800003E0,-2.377779961E1,-3.311079788E1,4.189919790E1
2.436664377E0,1.001620007E1,-2.415600014E1,-3.175659943E1,4.113779544E1
2.446676828E0,1.069939995E1,-2.342399979E1,-3.315959930E1,4.198475856E1
2.456677317E0,1.007719994E1,-2.355819893E1,-3.328160095E1,4.200242442E1
2.466677072E0,1.134599972E1,-2.342399979E1,-3.115880013E1,4.059909236E1
2.476664621E0,1.318820000E1,-2.303359985E1,-3.110999870E1,4.089385480E1
2.486677072E0,1.273680019E1,-2.339959908E1,-3.091479874E1,4.081044103E1
2.496676584E0,1.233419991E1,-2.338739967E1,-3.113439941E1,4.084671073E1
2.506676828E0,1.123619938E1,-2.343619919E1,-3.367200089E1,4.253599949E1
2.516677072E0,1.245619965E1,-2.256999969E1,-3.323279953E1,4.205925297E1
2.526676828E0,1.271239948E1,-2.227719879E1,-3.345240021E1,4.215378709E1
2.536677072E0,9.076799393E0,-2.382659912E1,-4.147999954E1,4.868968551E1
2.546664865E0,1.260260010E1,-2.320439911E1,-3.208599854E1,4.155455413E1
2.556676828E0,1.221220016E1,-2.324099922E1,-3.141499901E1,4.094122666E1
2.566676828E0,1.262699986E1,-2.283839989E1,-3.075619888E1,4.033580797E1
2.576677317E0,9.564800262E0,-2.343619919E1,-3.484320068E1,4.306726681E1
2.586677561E0,1.178520012E1,-2.304579926E1,-3.167119980E1,4.090311360E1
